filename,url,bytes,sha256
UID_0006643_RVC_001.tbl,http://exoplanetarchive.ipac.caltech.edu:80/data/ExoData/0006/0006643/data/UID_0006643_RVC_001.tbl,2012,4b6d4efdb5a79f4f093a11b609cf4e0bc6fbb8d4b362dd20c85164b242910a73
UID_0006643_RVC_002.tbl,http://exoplanetarchive.ipac.caltech.edu:80/data/ExoData/0006/0006643/data/UID_0006643_RVC_002.tbl,2449,eff4ab733247b1c6984495d53d4b794bc84b9d2e6b1664e71865fb072bc11857
UID_0006643_RVC_003.tbl,http://exoplanetarchive.ipac.caltech.edu:80/data/ExoData/0006/0006643/data/UID_0006643_RVC_003.tbl,3902,c44899932fdadd1cae5ca3e87d07112fd116bd4dee6d82ed758025888d65ddb6
UID_0006643_RVC_004.tbl,http://exoplanetarchive.ipac.caltech.edu:80/data/ExoData/0006/0006643/data/UID_0006643_RVC_004.tbl,4208,fac64f1b1cc4659b65630ae2842f6f44a4f3e88797eac97ada9ff0d7bef7d813
UID_0006643_RVC_005.tbl,http://exoplanetarchive.ipac.caltech.edu:80/data/ExoData/0006/0006643/data/UID_0006643_RVC_005.tbl,2444,4232a54539cbfd18cc62d6d46ebc42b2e2482386d8fa104d9eeb2b439b39ecb7
UID_0007339_RVC_001.tbl,http://exoplanetarchive.ipac.caltech.edu:80/data/ExoData/0007/0007339/data/UID_0007339_RVC_001.tbl,2393,bb6979cfa42cb67360097f9b6105b0d7fdfd17d617062fdc22f1811f0920a4ab
UID_0007339_RVC_002.tbl,http://exoplanetarchive.ipac.caltech.edu:80/data/ExoData/0007/0007339/data/UID_0007339_RVC_002.tbl,2392,4890faa6a0e6615f81108ffdbcaf75d6756167285932ba51a09ee9c6553418dc
UID_0007513_RVC_001.tbl,http://exoplanetarchive.ipac.caltech.edu:80/data/ExoData/0007/0007513/data/UID_0007513_RVC_001.tbl,4618,d4a4faac03fd5b6b9a6f9840a7b41bd3f577b763be6b12328b20608a38021c91
UID_0007513_RVC_002.tbl,http://exoplanetarchive.ipac.caltech.edu:80/data/ExoData/0007/0007513/data/UID_0007513_RVC_002.tbl,6916,5ad67983e14e0b9e37af032b724d8a771fd282b847d95ac630ca8f30a4ec8024
UID_0007513_RVC_003.tbl,http://exoplanetarchive.ipac.caltech.edu:80/data/ExoData/0007/0007513/data/UID_0007513_RVC_003.tbl,18833,3f11674e061a98d534d5c159ff1e9bd9f685df1e697e3a985be165cb7a486982
UID_0007513_RVC_004.tbl,http://exoplanetarchive.ipac.caltech.edu:80/data/ExoData/0007/0007513/data/UID_0007513_RVC_004.tbl,16769,416a7d56c3ba357b0ee66ac2712b2bebe04861ffc1a30f66052d12120a8f482e
UID_0007513_RVC_005.tbl,http://exoplanetarchive.ipac.caltech.edu:80/data/ExoData/0007/0007513/data/UID_0007513_RVC_005.tbl,5789,bf04971b2a07364ad244e2f9b17f6f9e588e0eb70e55ca25b5e88f899578b95f
UID_0007513_RVC_006.tbl,http://exoplanetarchive.ipac.caltech.edu:80/data/ExoData/0007/0007513/data/UID_0007513_RVC_006.tbl,4046,76cf6c027b6b6af4178bca23b8fb149bc2d01e48e48c81741dd5d1b0c8a7f0e6
UID_0007513_RVC_007.tbl,http://exoplanetarchive.ipac.caltech.edu:80/data/ExoData/0007/0007513/data/UID_0007513_RVC_007.tbl,19873,cee7820b1f8f2cd4298bc3dea73c417123812cf425fc8865cbd7229fbbf83b0c
UID_0007513_RVC_008.tbl,http://exoplanetarchive.ipac.caltech.edu:80/data/ExoData/0007/0007513/data/UID_0007513_RVC_008.tbl,1349,8ccbc57961c37f0837814f8db23dd6e6242c68090fa050ee11cc6feb943b0d1a
UID_0007513_RVC_009.tbl,http://exoplanetarchive.ipac.caltech.edu:80/data/ExoData/0007/0007513/data/UID_0007513_RVC_009.tbl,19615,0a0d2b61a0a9b6c735836d5491cea2e23d5f1cfa94cbf9b434ed636f6ba80a88
UID_0007513_RVC_010.tbl,http://exoplanetarchive.ipac.caltech.edu:80/data/ExoData/0007/0007513/data/UID_0007513_RVC_010.tbl,1909,ae9e3d0f3480722a28963e076b750c47be5055f06209251bde637164f6c29792
UID_0007978_RVC_001.tbl,http://exoplanetarchive.ipac.caltech.edu:80/data/ExoData/0007/0007978/data/UID_0007978_RVC_001.tbl,3229,d8db71e01d84a84e2d8b427055654954e583e6b919e6c8ca076364769af216a5
UID_0007981_RVC_001.tbl,http://exoplanetarchive.ipac.caltech.edu:80/data/ExoData/0007/0007981/data/UID_0007981_RVC_001.tbl,5013,700f84c80ed043065df38d1d088a720417cf985666b57f33bb7b6716651a49ac
UID_0007981_RVC_002.tbl,http://exoplanetarchive.ipac.caltech.edu:80/data/ExoData/0007/0007981/data/UID_0007981_RVC_002.tbl,4848,7df4e9ac070f1c7ad798a15c857042e34ba6678fd2b967eca323740d724e37df
UID_0007981_RVC_003.tbl,http://exoplanetarchive.ipac.caltech.edu:80/data/ExoData/0007/0007981/data/UID_0007981_RVC_003.tbl,3833,a2826e198c3782380ca6b2f483d9ecbc42820883981067aadc4b26d0d927bdfb
UID_0007981_RVC_004.tbl,http://exoplanetarchive.ipac.caltech.edu:80/data/ExoData/0007/0007981/data/UID_0007981_RVC_004.tbl,1792,73ceccff01ef3dd3b1afce620d2674121b58d4bf2a852e9c66a4dd30e0eb1b79
UID_0008102_RVC_001.tbl,http://exoplanetarchive.ipac.caltech.edu:80/data/ExoData/0008/0008102/data/UID_0008102_RVC_001.tbl,12529,accedf6a6f757312e2f7db60e6b7d84fbffe053cdd71a0db1d4bd5a5afdcabdc
UID_0008102_RVC_002.tbl,http://exoplanetarchive.ipac.caltech.edu:80/data/ExoData/0008/0008102/data/UID_0008102_RVC_002.tbl,6190,341c1282df80f2f113f060ac26a44d49ce6262d92cd7bc956fdd19b3a1d8a8a6
UID_0008102_RVC_003.tbl,http://exoplanetarchive.ipac.caltech.edu:80/data/ExoData/0008/0008102/data/UID_0008102_RVC_003.tbl,33535,e658c48704ff422bc965ef34ce762e3aaddaca525ac61976d0542030fa727bfd
UID_0008102_RVC_004.tbl,http://exoplanetarchive.ipac.caltech.edu:80/data/ExoData/0008/0008102/data/UID_0008102_RVC_004.tbl,6791,fab10fd7181b39ad3d3facba5ff1662fa2738ed3db02f43b632dcad855266491
UID_0008159_RVC_001.tbl,http://exoplanetarchive.ipac.caltech.edu:80/data/ExoData/0008/0008159/data/UID_0008159_RVC_001.tbl,5199,af33ae4c309ed2c62a6ea1b9f121e3de4dfea635160ac8a1b8e893b1bdc0f853
UID_0008159_RVC_002.tbl,http://exoplanetarchive.ipac.caltech.edu:80/data/ExoData/0008/0008159/data/UID_0008159_RVC_002.tbl,3557,1511292a3456fcf0d58b1168311c5cfe34ac3ccb6273a21d4e7d348f9ec6cd07
UID_0008159_RVC_003.tbl,http://exoplanetarchive.ipac.caltech.edu:80/data/ExoData/0008/0008159/data/UID_0008159_RVC_003.tbl,3954,9c203c270284cd9b2251ea6cf79f8dedbe227605694401bbe690efb5bc4aa020
UID_0008159_RVC_004.tbl,http://exoplanetarchive.ipac.caltech.edu:80/data/ExoData/0008/0008159/data/UID_0008159_RVC_004.tbl,3470,9482e8eff7b9e0c36ca51d80c0d19c4ff86c08653adb7112711526191a1beb96
UID_0008362_RVC_001.tbl,http://exoplanetarchive.ipac.caltech.edu:80/data/ExoData/0008/0008362/data/UID_0008362_RVC_001.tbl,1833,62d2e2b0294c90fff8d64c33eb3082ae86ffa4f3932ccf6c152e92f406e7dfff
UID_0008362_RVC_002.tbl,http://exoplanetarchive.ipac.caltech.edu:80/data/ExoData/0008/0008362/data/UID_0008362_RVC_002.tbl,1854,dd6f0ab6df78dbd88def5c91a1755592c0672eb74ed5e5526e347f742086ef18
UID_0008770_RVC_001.tbl,http://exoplanetarchive.ipac.caltech.edu:80/data/ExoData/0008/0008770/data/UID_0008770_RVC_001.tbl,3026,081365bf09717de4d9e95c0fb5d2b8dbad7cb4b293736c679ccb376c6839a113
UID_0009094_RVC_001.tbl,http://exoplanetarchive.ipac.caltech.edu:80/data/ExoData/0009/0009094/data/UID_0009094_RVC_001.tbl,7018,39242cefd581e9cf94d24c16a96bb7651a238d8927b34e0d489dccd9bcbb9938
UID_0009094_RVC_002.tbl,http://exoplanetarchive.ipac.caltech.edu:80/data/ExoData/0009/0009094/data/UID_0009094_RVC_002.tbl,9100,a88f8d8c7cf1944bdb9ff513e0758050aabf9ea97998aa0b2d2132d3d2c7ce91
UID_0009683_RVC_001.tbl,http://exoplanetarchive.ipac.caltech.edu:80/data/ExoData/0009/0009683/data/UID_0009683_RVC_001.tbl,5068,1a5fbedd3af1acc2000784633a086dd7fa09fe325d57f2eb05ca8545e3746c5d
UID_0009683_RVC_002.tbl,http://exoplanetarchive.ipac.caltech.edu:80/data/ExoData/0009/0009683/data/UID_0009683_RVC_002.tbl,4726,0346216bdd6f62fcdb6444717b60454871c3379fcb2558cc3191ecfba205a787
UID_0009683_RVC_003.tbl,http://exoplanetarchive.ipac.caltech.edu:80/data/ExoData/0009/0009683/data/UID_0009683_RVC_003.tbl,2323,99bbec6be7fb31abf890313b78074cfeb199c9b3011208096227fc1611b3783e
UID_0009683_RVC_004.tbl,http://exoplanetarchive.ipac.caltech.edu:80/data/ExoData/0009/0009683/data/UID_0009683_RVC_004.tbl,2690,54128acf7cc2bc7f2186c8a24d1489508c8438d74ffb4312212f6dcdd576d2bb
UID_0009683_RVC_005.tbl,http://exoplanetarchive.ipac.caltech.edu:80/data/ExoData/0009/0009683/data/UID_0009683_RVC_005.tbl,4142,fe78094b605025df9521e150939ab3eed33bff5debb5f3e6b74548f79846f606
UID_0009683_RVC_006.tbl,http://exoplanetarchive.ipac.caltech.edu:80/data/ExoData/0009/0009683/data/UID_0009683_RVC_006.tbl,3943,2f2c44c0d76cf87a2522625d204ff501511ff8ee68da76333c34cea11d3cea67
UID_0009683_RVC_007.tbl,http://exoplanetarchive.ipac.caltech.edu:80/data/ExoData/0009/0009683/data/UID_0009683_RVC_007.tbl,5655,2142d392bd298a673a1632204335cfb869bc746fdaa6d2c9195c1fd31812ec1d
UID_0009683_RVC_008.tbl,http://exoplanetarchive.ipac.caltech.edu:80/data/ExoData/0009/0009683/data/UID_0009683_RVC_008.tbl,4012,b0b968dee19d29ab31cb50cf0a7c17c56ba19415fc33c34426e76b913f777d9e
UID_0009884_RVC_001.tbl,http://exoplanetarchive.ipac.caltech.edu:80/data/ExoData/0009/0009884/data/UID_0009884_RVC_001.tbl,45372,a0732ee3771b883f922bb7e9d0ac5955c19f6829713fd6cbbbd4e88fddf70716
UID_0010138_RVC_001.tbl,http://exoplanetarchive.ipac.caltech.edu:80/data/ExoData/0010/0010138/data/UID_0010138_RVC_001.tbl,2848,cc9fd190a3747aa1d7271b6da3948f9992e93f8a36c3ae1226a636bb98291996
