host,mse_tab,mse_psi,chi2_tab,chi2_psi,mse_star,chi2_star
51 Peg,0.05354182422161102,2.3821096420288086,2.216298818588257,140.52902221679688,0.05354182422161102,2.216298818588257
51 Peg,0.03321164846420288,1.96942138671875,2.7252354621887207,153.7073974609375,0.026015719398856163,1.8134759664535522
51 Peg,0.09024960547685623,1.8256648778915405,2.9859204292297363,61.41096115112305,0.09024960547685623,2.9859204292297363
HD 240237,0.47029009461402893,0.9190893173217773,56.315513610839844,98.5293960571289,0.2836013436317444,37.70233917236328
HD 222582,0.2556210160255432,1.247624158859253,330.552734375,1670.7711181640625,0.002735092071816325,3.6572318077087402
HD 222582,0.1877034455537796,0.3080027103424072,90.49059295654297,175.81336975097656,0.001783226034604013,0.9759411811828613
GJ 3470,0.5036033987998962,4.359697341918945,1.9948153495788574,18.247940063476562,0.5036033987998962,1.9948153495788574
OGLE-TR-56,0.19367685914039612,0.3596291244029999,1.1470211744308472,2.9068732261657715,0.19367685914039612,1.1470211744308472
TrES-2,0.024381602182984352,0.22073335945606232,14.367646217346191,102.98612976074219,0.010837252251803875,5.3484673500061035
TrES-2,0.5900053977966309,0.9564051032066345,6.970755577087402,11.388465881347656,0.5846556425094604,6.86013126373291
CoRoT-4,0.11347547918558121,0.3662804067134857,1.3418854475021362,4.6243462562561035,0.08889420330524445,0.9546756148338318
HAT-P-12,0.053138744086027145,1.0307679176330566,4.356341361999512,90.33196258544922,0.053138744086027145,4.356341361999512
WASP-16,0.049016792327165604,1.705169677734375,4.940398693084717,181.852294921875,0.049016792327165604,4.940398693084717
HAT-P-20,0.011156084015965462,1.1596875190734863,2447.347412109375,208009.125,0.011156084015965462,2447.347412109375
WASP-38,0.24323885142803192,0.9663007855415344,9.685406684875488,40.77515411376953,0.22228114306926727,8.391233444213867
Kepler-40,0.17549583315849304,1.4707776308059692,1.8338643312454224,26.96769905090332,0.18020853400230408,1.5368999242782593
HAT-P-28,0.04061188921332359,1.2250332832336426,1.5109692811965942,41.6546516418457,0.020963184535503387,0.8912210464477539
CoRoT-18,0.5907385945320129,0.8389632105827332,14.417232513427734,35.64793014526367,0.2979685664176941,16.80943489074707
CoRoT-18,0.04139627516269684,1.2778384685516357,1.7477504014968872,107.27611541748047,0.03501414507627487,2.4533071517944336
Kepler-15,0.0888601765036583,1.8283151388168335,0.8711720108985901,16.053325653076172,0.0888601765036583,0.8711720108985901
CoRoT-16,0.4517410695552826,0.8599681258201599,1.4244338274002075,2.7446603775024414,0.4831713140010834,1.614926815032959
WASP-42,0.056030526757240295,1.6670135259628296,0.8895821571350098,31.169218063354492,0.056030526757240295,0.8895821571350098
WASP-42,0.06095810607075691,1.0216169357299805,2.496805429458618,65.63078308105469,0.042042989283800125,1.6341248750686646
WASP-62,0.08842571079730988,1.8236443996429443,1.7706799507141113,38.106163024902344,0.08842571079730988,1.7706799507141113
WASP-56,0.09613736718893051,1.4244376420974731,1.0083571672439575,39.642127990722656,0.07803774625062943,1.0816229581832886
