host,pl_name,split,param,space,unit,pred_phys,tab_phys,cat_sigma_phys,cp_halfwidth_cmp,bayes_halfwidth_cmp,width_ratio_cp_over_bayes,pred_minus_tab_cmp,cp_covers_tab,bayes_covers_pred,omega_near_vacuous
HD 147513,HD 147513 b,val,omega,angle,rad,2.361999399490842,-1.3613568273766112,9.0,3.990118023141072,0.2583802877944925,15.442811281000992,-2.5598290803121326,True,False,True
HD 173416,HD 173416 b,test,P,log10,dex,265.2351970173549,322.03006770648545,1.425,2.811927944951861,0.003161129246960959,889.532735067757,-0.08426526840293969,True,False,False
HD 173416,HD 173416 b,test,K,log10,dex,59.35903188709759,35.32999900952344,4.265000000000001,0.3784230247815153,0.08623810845647795,4.388118333700411,0.22534318396709718,True,False,False
HD 173416,HD 173416 b,test,e,linear,-,0.2400661169254928,0.2080000042915344,0.0915,1.1550381616453034,0.15050835,7.6742463899531375,0.032066112633958394,True,True,False
HD 173416,HD 173416 b,test,omega,angle,rad,0.561145587194131,-2.0577431809450824,33.400000000000006,53.85955518999597,0.9588779569262281,56.169353775372784,2.618888768139213,True,False,True
HD 10647,HD 10647 b,test,P,log10,dex,1276.7489654952972,989.199938082792,8.1,1.7893488059275715,0.0058495808812972635,305.8935062593317,0.11082143412883205,True,False,False
HD 10647,HD 10647 b,test,K,log10,dex,40.821056858958165,18.10000221298143,1.7,0.7597064404436952,0.06709560995023099,11.322744379359797,0.35320561646101734,True,False,False
HD 10647,HD 10647 b,test,e,linear,-,0.6839375114694682,0.1500000059604644,0.08,0.6203153854817673,0.13159200000000001,4.71392930787409,0.5339375055090039,True,False,False
HD 10647,HD 10647 b,test,omega,angle,rad,3.0452416701524587,-2.5830872880919507,39.0,3.291146451118443,1.1196479137761344,2.939447669775665,-0.6548563489351764,True,True,True
HD 231701,HD 231701 b,val,P,log10,dex,81.7261259905654,141.62999290121132,0.067,2.811927944951861,0.0003379429425187014,8320.718059665507,-0.23879432055022143,True,False,False
HD 231701,HD 231701 b,val,K,log10,dex,38.96975137190128,39.19999733048599,1.2,0.3784230247815153,0.0218685012836087,17.304479162692243,-0.0025584024544249573,True,True,False
HD 231701,HD 231701 b,val,e,linear,-,0.1528210461867789,0.1299999952316284,0.032,1.1550381616453034,0.052636800000000004,21.943548271272252,0.022821050955150524,True,True,False
HD 231701,HD 231701 b,val,omega,angle,rad,0.1238003335334946,1.186823908690243,14.0,53.85955518999597,0.4019248921247662,134.00402972124652,-1.0630235751567483,True,False,True
HD 206610,HD 206610 b,test,P,log10,dex,432.8562451955636,673.1999475795506,3.3,1.7630164726129622,0.00350181886720097,503.457357296768,-0.19180038564155488,True,False,False
HD 206610,HD 206610 b,test,K,log10,dex,37.00772156249574,35.399998485561966,1.0,0.3729342692659892,0.020179972424971094,18.48041520634156,0.01928910446164256,True,True,False
HD 206610,HD 206610 b,test,e,linear,-,0.3412384629455661,0.1000000014901161,0.042,1.0336753933424412,0.0690858,14.962197634570941,0.24123846145544997,True,False,False
HD 206610,HD 206610 b,test,omega,angle,rad,1.9949567771469008,-0.4537856061119552,16.0,3.990118023141072,0.45934273385687563,8.686581345563058,2.448742383258856,True,False,True
HD 32518,HD 32518 b,val,P,log10,dex,183.56905509115657,157.35000125646965,0.09,1.7599632211487886,0.0004086011368417182,4307.289095552746,0.06693272170449882,True,False,False
HD 32518,HD 32518 b,val,K,log10,dex,95.84412434271933,98.88000625598076,5.74,1.2642691977224207,0.041469349130370266,30.486834836684896,-0.013542991312424757,True,True,False
HD 32518,HD 32518 b,val,e,linear,-,0.1821709191267031,0.0280000008642673,0.026500000000000003,0.5132802789228588,0.043589850000000006,11.775224712240549,0.1541709182624358,True,False,False
HD 32518,HD 32518 b,val,omega,angle,rad,-2.5330838593379954,-0.6178465413825883,89.39,3.0881327549877287,2.566290436216632,1.2033449961105827,-1.9152373179554072,True,True,False
HD 73534,HD 73534 b,test,P,log10,dex,1273.0226244419475,1749.999558305246,24.0,1.2649169232851878,0.009797090380632707,129.1114886299026,-0.13820181697103884,True,False,False
HD 73534,HD 73534 b,test,K,log10,dex,27.89693927878001,17.110000488266003,0.93,0.5207829540479222,0.038829047620921625,13.412200039830932,0.21230653520096676,True,False,False
HD 73534,HD 73534 b,test,e,linear,-,0.1334098425393441,0.1260000020265579,0.057,0.8379430051345113,0.0937593,8.937172153957114,0.007409840512786203,True,True,False
HD 73534,HD 73534 b,test,omega,angle,rad,2.7905390458714634,2.932153154171508,23.0,3.854667215843175,0.6603051799192587,5.837705553535895,-0.14161410830004462,True,True,True
