file,host_in_file,n_obs,t_baseline_days,telescope,reference,pl_name,hostname,hd_name,hip_name,tic_id,ra,dec,sy_dist,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_orbtper,pl_orbtpererr1,pl_orbtpererr2,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_rvamp,pl_rvamperr1,pl_rvamperr2,st_mass,st_masserr1,st_masserr2,st_rad,st_raderr1,st_raderr2,st_teff,st_tefferr1,st_tefferr2,discoverymethod,disc_year,default_flag
UID_0003093_RVC_002.tbl,54 Psc,121,6174.081860000268,3.0m Shane and 0.6m CAT,"Butler et al. 2006 (ApJ, 646, 505)",HD 3651 b,HD 3651,HD 3651,HIP 3093,TIC 434210589,9.8387218,21.2488844,11.1336,62.25,0.004,-0.004,0.295,0.029,-0.029,0.645,0.02,-0.02,,,,243.0,3.0,-3.0,,,,,,,0.228,0.011,-0.011,0.228,0.011,-0.011,16.6,0.6,-0.6,0.799,,,,,,5221.0,,,Radial Velocity,2003.0,1.0
UID_0003093_RVC_003.tbl,HD 3651,26,2241.810000000056,10m Keck I,"Fischer et al. 2003 (ApJ, 590, 1081)",HD 3651 b,HD 3651,HD 3651,HIP 3093,TIC 434210589,9.8387218,21.2488844,11.1336,62.25,0.004,-0.004,0.295,0.029,-0.029,0.645,0.02,-0.02,,,,243.0,3.0,-3.0,,,,,,,0.228,0.011,-0.011,0.228,0.011,-0.011,16.6,0.6,-0.6,0.799,,,,,,5221.0,,,Radial Velocity,2003.0,1.0
UID_0003093_RVC_004.tbl,HD 3651,112,5583.786000000313,3.0m Shane and 0.6m CAT,"Fischer et al. 2003 (ApJ, 590, 1081)",HD 3651 b,HD 3651,HD 3651,HIP 3093,TIC 434210589,9.8387218,21.2488844,11.1336,62.25,0.004,-0.004,0.295,0.029,-0.029,0.645,0.02,-0.02,,,,243.0,3.0,-3.0,,,,,,,0.228,0.011,-0.011,0.228,0.011,-0.011,16.6,0.6,-0.6,0.799,,,,,,5221.0,,,Radial Velocity,2003.0,1.0
UID_0003093_RVC_005.tbl,HD 3651,83,548.6837500003166,9.2m Hobby Eberly Telescope (HET),"Wittenmyer et al. 2007 (AJ, 134, 1276)",HD 3651 b,HD 3651,HD 3651,HIP 3093,TIC 434210589,9.8387218,21.2488844,11.1336,62.25,0.004,-0.004,0.295,0.029,-0.029,0.645,0.02,-0.02,,,,243.0,3.0,-3.0,,,,,,,0.228,0.011,-0.011,0.228,0.011,-0.011,16.6,0.6,-0.6,0.799,,,,,,5221.0,,,Radial Velocity,2003.0,1.0
UID_0003093_RVC_006.tbl,HD 3651,35,842.5455199996941,9.2m Hobby Eberly Telescope (HET),"Wittenmyer et al. 2009 (ApJS, 182, 97)",HD 3651 b,HD 3651,HD 3651,HIP 3093,TIC 434210589,9.8387218,21.2488844,11.1336,62.25,0.004,-0.004,0.295,0.029,-0.029,0.645,0.02,-0.02,,,,243.0,3.0,-3.0,,,,,,,0.228,0.011,-0.011,0.228,0.011,-0.011,16.6,0.6,-0.6,0.799,,,,,,5221.0,,,Radial Velocity,2003.0,1.0
UID_0003093_RVC_007.tbl,HD 3651,4,386.9762399997562,2.7m Harlan J. Smith (HJS) telescope,"Wittenmyer et al. 2009 (ApJS, 182, 97)",HD 3651 b,HD 3651,HD 3651,HIP 3093,TIC 434210589,9.8387218,21.2488844,11.1336,62.25,0.004,-0.004,0.295,0.029,-0.029,0.645,0.02,-0.02,,,,243.0,3.0,-3.0,,,,,,,0.228,0.011,-0.011,0.228,0.011,-0.011,16.6,0.6,-0.6,0.799,,,,,,5221.0,,,Radial Velocity,2003.0,1.0
UID_0003093_RVC_008.tbl,HD 3651,54,3401.8885999997146,10m Keck I,"Howard & Fulton, 2016",HD 3651 b,HD 3651,HD 3651,HIP 3093,TIC 434210589,9.8387218,21.2488844,11.1336,62.25,0.004,-0.004,0.295,0.029,-0.029,0.645,0.02,-0.02,,,,243.0,3.0,-3.0,,,,,,,0.228,0.011,-0.011,0.228,0.011,-0.011,16.6,0.6,-0.6,0.799,,,,,,5221.0,,,Radial Velocity,2003.0,1.0
UID_0003093_RVC_009.tbl,HD 3651,29,2621.8881700001657,10m Keck I,"Howard & Fulton, 2016",HD 3651 b,HD 3651,HD 3651,HIP 3093,TIC 434210589,9.8387218,21.2488844,11.1336,62.25,0.004,-0.004,0.295,0.029,-0.029,0.645,0.02,-0.02,,,,243.0,3.0,-3.0,,,,,,,0.228,0.011,-0.011,0.228,0.011,-0.011,16.6,0.6,-0.6,0.799,,,,,,5221.0,,,Radial Velocity,2003.0,1.0
UID_0003093_RVC_010.tbl,HD 3651,139,6166.089680000208,3.0m Shane,"Howard & Fulton, 2016",HD 3651 b,HD 3651,HD 3651,HIP 3093,TIC 434210589,9.8387218,21.2488844,11.1336,62.25,0.004,-0.004,0.295,0.029,-0.029,0.645,0.02,-0.02,,,,243.0,3.0,-3.0,,,,,,,0.228,0.011,-0.011,0.228,0.011,-0.011,16.6,0.6,-0.6,0.799,,,,,,5221.0,,,Radial Velocity,2003.0,1.0
UID_0003093_RVC_011.tbl,HD 3651,16,2574.980900000315,3.0m Shane,"Howard & Fulton, 2016",HD 3651 b,HD 3651,HD 3651,HIP 3093,TIC 434210589,9.8387218,21.2488844,11.1336,62.25,0.004,-0.004,0.295,0.029,-0.029,0.645,0.02,-0.02,,,,243.0,3.0,-3.0,,,,,,,0.228,0.011,-0.011,0.228,0.011,-0.011,16.6,0.6,-0.6,0.799,,,,,,5221.0,,,Radial Velocity,2003.0,1.0
