file,host,n_obs,n_planets,median_sigma_ms,rms_catalog_init,rms_random_best,rms_random_median,rms_random_worst,tperi_shifts_d,trend_coefs
UID_0062534_RVC_001.tbl,HD 111232,38,2,5.5,7.520044159804828,7.457425245804041,7.505199097829972,7.521754399285999,"+0.2470,-3409.7621","-0.0314855,-1.88765e-05"
UID_0062534_RVC_002.tbl,HD 111232,15,2,3.2,4.300244086388352,4.3002669813999255,4.304171826049103,4.567544559758658,"+338.5771,-7863.1516","0.110717,4.82723e-05"
UID_0064295_RVC_001.tbl,HD 114386,58,2,7.0,10.86256614435243,10.862553832809194,10.862558621722037,10.862570698951272,"+243.0722,+135.1322","-0.0102017,1.99235e-05"
UID_0064457_RVC_001.tbl,HD 114783,54,1,2.6,4.63924297197998,4.639234926531044,4.639240256994434,4.639245040483251,-3.9791,"0.00589669,3.19665e-06"
UID_0064457_RVC_002.tbl,HD 114783,37,1,2.8,4.698586207604937,4.698548343783568,4.698571309561545,4.698590013609316,-4.6971,"0.00665196,1.13149e-05"
UID_0064457_RVC_003.tbl,HD 114783,34,1,5.6,4.482614646323073,4.4826156065591825,5.164326177096773,5.951053054066634,-21.4045,"-0.00759704,2.46354e-05"
UID_0064459_RVC_001.tbl,HD 114729,38,1,3.6,5.658186312644786,5.658186092643096,5.658186250491448,5.658186343507413,+1.8219,"-0.00137957,-3.99492e-06"
UID_0064459_RVC_002.tbl,HD 114729,42,1,3.25,4.708628708425148,4.708624624976873,4.708625939184558,4.708629827354215,+8.5719,"-0.000288315,1.13887e-06"
UID_0064924_RVC_001.tbl,61 Vir,26,3,10.600000000000001,20.35357676569963,20.3503140570873,20.357392382241997,20.59418338945089,"+0.7848,+15.4114,-9.9165","-0.00632036,4.05109e-05"
UID_0064924_RVC_002.tbl,61 Vir,126,3,0.65,1.8790059666139682,1.8788203567439858,1.8789342199803114,1.8793348630788376,"+1.2683,+6.9727,+39.9869","-0.000448989,4.79208e-07"
UID_0064924_RVC_003.tbl,61 Vir,80,3,0.545,2.239358700997616,2.239339744577946,2.2393817185533913,2.239632794431543,"+1.1148,+8.4799,-10.3960","0.000754872,1.19584e-06"
UID_0064924_RVC_004.tbl,HD 115617,103,3,0.6129335,2.168948989474501,2.167519327591802,2.168737729537862,2.1690478333549454,"-0.8572,-10.0500,+56.6956","-5.7401e-05,-5.10805e-07"
UID_0064924_RVC_005.tbl,HD 115617,95,3,2.46,7.609127388714248,7.609162749294192,7.610006507391013,7.612706584372225,"-1.0135,-14.3607,+5.1366","-0.00207535,1.08198e-06"
UID_0064924_RVC_006.tbl,HD 115617,14,3,8.0662992,8.215425587060889,8.215288105321246,8.216436338192208,8.221346695594818,"-0.5893,-2.2310,+46.9250","0.00181131,-3.4177e-05"
UID_0065721_RVC_001.tbl,70 Vir,74,1,4.95,7.271525847211517,7.271525148234353,7.271526527230072,127.25512672938473,-0.1144,"3.22974e-05,4.74613e-08"
UID_0065721_RVC_002.tbl,70 Vir,35,1,7.0,5.653012703499761,5.65297719268799,5.653009252131667,5.653015627343287,-0.0522,"0.00325155,-7.34983e-07"
UID_0065721_RVC_003.tbl,HD 117176,54,1,1.1900089,3.701461940058592,3.7014619389319163,3.701461960711573,125.50248214910144,+0.0354,"0.000372143,-1.02493e-06"
