pl_name,hostname,hd_name,hip_name,tic_id,ra,dec,sy_dist,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_orbtper,pl_orbtpererr1,pl_orbtpererr2,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_rvamp,pl_rvamperr1,pl_rvamperr2,st_mass,st_masserr1,st_masserr2,st_rad,st_raderr1,st_raderr2,st_teff,st_tefferr1,st_tefferr2,discoverymethod,disc_year,default_flag
HD 165155 b,HD 165155,HD 165155,HIP 88650,TIC 408229533,271.4893395,-29.9172536,63.3574,434.5,2.1,-2.1,1.13,0.04,-0.04,0.2,0.03,-0.03,,,,211.99,11.46,-11.46,,,,,,,2.89,0.23,-0.23,2.89,0.23,-0.23,75.8,3.0,-3.0,1.02,0.05,-0.05,0.95,0.11,-0.11,5426.0,100.0,-100.0,Radial Velocity,2016.0,1
HD 224538 b,HD 224538,HD 224538,HIP 118228,TIC 280803137,359.7164302,-61.5868613,79.0608,1202.05199,3.88199,-3.68089,2.375,0.111,-0.123,0.476,0.014,-0.013,91.125,25.897,-25.504,26.829,1.244,-1.355,2452421.823,9.362,-9.817,,,,6.531,1.836,-0.349,,,,123.164,3.459,-2.769,1.23,0.181,-0.181,,,,,,,Radial Velocity,2016.0,1
2MASS J22362452+4751425 b,2MASS J22362452+4751425,,,TIC 200532605,339.1025931,47.861683,69.5737,,,,230.0,20.0,-20.0,,,,,,,,,,,,,,,,12.5,1.5,-1.5,,,,,,,0.6,0.05,-0.05,,,,4045.0,35.0,-35.0,Imaging,2016.0,1
GJ 536 b,GJ 536,HD 122303,HIP 68469,TIC 119147875,210.2597264,-2.6522901,10.4092,8.70874,0.00056,-0.00056,0.0668,0.0012,-0.0012,0.0,,,,,,,,,,,,2460553.1,0.12,-0.12,0.02004226,0.00119561,-0.00119561,0.02004226,0.00119561,-0.00119561,3.03,0.15,-0.15,0.528,0.027,-0.027,0.529,0.022,-0.022,3641.0,88.0,-88.0,Radial Velocity,2016.0,1
WASP-130 b,WASP-130,,,TIC 243200602,203.1060194,-42.4752733,172.256,11.55098,1e-05,-1e-05,0.1012,0.0014,-0.0014,0.0,,,88.66,0.12,-0.12,,,,,,,2456921.14307,0.00025,-0.00025,1.23,0.04,-0.04,,,,108.0,2.0,-2.0,1.04,0.04,-0.04,0.96,0.03,-0.03,5625.0,90.0,-90.0,Transit,2016.0,1
WASP-131 b,WASP-131,,,TIC 271168962,210.1935714,-30.5836084,200.075,5.3220125,1e-06,-1e-06,0.0608,0.0013,-0.0013,0.0,,,84.96,0.17,-0.17,,,,,,,2458282.2588,0.00019,-0.00019,0.273,0.019,-0.019,,,,30.5,1.7,-1.7,1.06,0.068,-0.068,1.561,0.043,-0.043,5990.0,50.0,-50.0,Transit,2016.0,1
WASP-132 b,WASP-132,,,TIC 127530399,217.6091998,-46.159516,122.91,7.1335164,1.9e-06,-1.9e-06,0.0674,0.0029,-0.0029,0.0163,0.0067,-0.0069,89.46,0.13,-0.11,318.0,31.0,-298.0,,,,2459337.60808,0.00014,-0.00016,0.428,0.015,-0.015,,,,52.99,0.75,-0.74,0.789,0.039,-0.039,0.758,0.032,-0.032,4686.0,99.0,-99.0,Transit,2016.0,1
WASP-139 b,WASP-139,,,TIC 159951311,49.562173,-41.3020235,212.472,5.924262,4e-06,-4e-06,0.062,0.002,-0.002,0.0,,,88.9,0.5,-0.5,,,,,,,2457196.7933,0.0003,-0.0003,0.117,0.017,-0.017,,,,14.0,1.4,-1.4,0.92,0.1,-0.1,0.8,0.04,-0.04,5310.0,90.0,-90.0,Transit,2016.0,1
WASP-140 b,WASP-140,,,TIC 178284730,60.3855387,-20.4509991,117.598,,,,,,,,,,84.3,0.06,-0.06,,,,,,,2456912.35261,0.00016,-0.00016,,,,,,,,,,,,,,,,5300.0,100.0,-100.0,Transit,2016.0,1
WASP-141 b,WASP-141,,,TIC 117979897,71.8244347,-17.1151736,516.543,3.310651,5e-06,-5e-06,0.0469,0.0007,-0.0007,0.0,,,87.6,1.3,-1.3,,,,,,,2457019.5953,0.0003,-0.0003,2.69,0.15,-0.15,,,,315.0,15.0,-15.0,1.25,0.06,-0.06,1.37,0.07,-0.07,5900.0,120.0,-120.0,Transit,2016.0,1
