host,file,n_obs,best_kernel,logL,BIC,AIC,n_params,convergence_gap,ks_statistic,ks_pvalue,lb_statistic,lb_pvalue,lb_df,whitened_std,whitened_kurt_excess,n,p_log_sigma,p_log_rho,p_log_Q,p_log_jitter,p_log_period,p_log_Q0,p_log_dQ,p_logit_f,p_sho.log_sigma,p_sho.log_rho,p_sho.log_Q,p_matern32.log_sigma,p_matern32.log_rho
Gl 581,UID_0074995_RVC_001.tbl,20,sho,-31.69874265901823,75.38041441225242,71.39748531803646,4,1.2122174081498471,0.1356699380927439,0.8082138147782101,3.106496805865324,0.5401642759527108,4,0.8120955397179175,-0.6151860857203029,20,-0.14490889107633778,3.2082733746017538,6.907755278982137,-8.852000949604838,,,,,,,,,
GJ 581,UID_0074995_RVC_002.tbl,119,sho,-238.93151003737006,496.9795140471862,485.8630200747401,4,7.848641179375875,0.04873461979609478,0.9268461684494091,16.934446909800553,0.657226106691267,20,1.0100074681170317,-0.1603777005421203,119,0.3993254782058322,4.141696738668508,0.8198097097971593,-0.05606446023446384,,,,,,,,,
Gl 581,UID_0074995_RVC_003.tbl,50,matern32,-96.15954134722091,204.05515171072625,198.31908269444182,3,3.25500755489702,0.07681706456183646,0.9074878538847008,8.503544626921206,0.5797746681355496,10,1.010389065100934,-0.151875745550472,50,0.3658993929059159,2.7754035975860942,,-0.050928919967625275,,,,,,,,,
HD 136352,UID_0075181_RVC_001.tbl,23,matern32,-48.978076536487556,107.36263572076257,103.95615307297511,3,4.209662242429424,0.21501927976530588,0.2058833018450199,1.6827522473073113,0.7938482647911217,4,0.924921359265718,-1.003866074752048,23,0.7636049113559136,2.6652058486953356,,0.17677452567676266,,,,,,,,,
HD 139357,UID_0076311_RVC_001.tbl,49,sho,-192.92039805998246,401.40807731240744,393.8407961199649,4,6.197396771069009,0.0994348823904766,0.6806682572800504,9.454819915220325,0.39639205327039617,9,1.042476661767804,3.572729567334635,49,1.7103138933249382,2.256501181653699,6.907755278982137,2.067895972414531,,,,,,,,,
HD 141004,UID_0077257_RVC_004.tbl,16,rotation,-56.29496807778367,129.22546848900603,124.58993615556734,6,0.0006632908779806712,0.14393875761598407,0.8492491565802966,3.528153605134714,0.31712900803919286,3,0.7774602721483365,-1.0280815273208226,16,2.045723607480733,,,-2.5691210466297143,4.838834448276481,9.210340371976184,-5.064831130321044,2.514497655661969,,,,,
HD 330075,UID_0077517_RVC_001.tbl,21,sho,-43.839655856354646,99.85740146360298,95.67931171270929,4,2.2704548686556265,0.12896835494843256,0.8326820475839225,7.160246018418927,0.12765842284910467,4,0.9416821389760058,0.2675773024251442,21,0.15414733497218497,1.6563280579432156,6.907755278982137,-7.712848366741571,,,,,,,,,
Kappa CrB,UID_0077655_RVC_001.tbl,48,sho,-149.33592488705528,314.15665381774215,306.67184977411057,4,2.896653864685817,0.13889243050377825,0.2854292225161472,6.840054590976234,0.6537677579296728,9,0.9702981557895579,0.7446182398614045,48,0.7549761984200861,3.305226104392331,6.907755278982137,1.352024857005385,,,,,,,,,
HD 142415,UID_0078169_RVC_001.tbl,137,matern32,-523.5700984137081,1061.9001396049007,1053.1401968274163,3,11.322480131135308,0.060350053717794006,0.6776572763114671,23.212594876123923,0.2784766588861304,20,1.0144606406624561,-0.43828247544802323,137,1.6482120435167853,6.534107187284884,,2.104093522440429,,,,,,,,,
Rho CrB,UID_0078459_RVC_001.tbl,26,matern32,-80.95089845889709,171.67608653185863,167.90179691779417,3,2.046391500698519e-09,0.12855992171280445,0.7360955317188589,2.966092385386109,0.7052135551753105,5,0.9760224397374527,0.48224677118234016,26,0.36181587133941656,7.542699641384072,,-7.39570848270293,,,,,,,,,
HD 145457,UID_0079219_RVC_001.tbl,23,matern32,-86.36393769866181,182.13435804511107,178.72787539732363,3,3.948595753758184,0.14165332646959639,0.6934664117413222,1.1573477546471833,0.8850698585639717,4,0.9924856403365762,-0.2546052560754428,23,1.2280420616872985,3.8657145293265773,,2.020505524732636,,,,,,,,,
HD 142022A,UID_0079242_RVC_001.tbl,70,matern32,-281.404020704769,575.5535271356861,568.808041409538,3,0.2539822537798955,0.08918586112769489,0.6017891961422044,20.873645679496544,0.10491457337040255,14,1.0399646493444932,0.2183582434671587,70,2.8983377034198052,4.02123288858452,,1.5566510524407493,,,,,,,,,
HD 147506,UID_0080076_RVC_001.tbl,53,matern32,-414.8922599772553,841.695395695167,835.7845199545106,3,4.2293152091588126e-08,0.09479208727120891,0.6920366648711539,14.071884938488457,0.16973789485306856,10,0.895275640096447,-0.03029886000329851,53,5.597556109888274,2.3498212172431723,,-2.8213801248606454,,,,,,,,,
HD 147513,UID_0080337_RVC_001.tbl,30,matern32,-96.66785610389418,203.53930435277482,199.33571220778836,3,2.6854318664975523,0.10765805197960354,0.8412877827176455,4.727543781706867,0.579201887205707,6,1.0686957734548266,-0.45633720019424606,30,-2.688575232668901,3.816295244806837,,1.286209825381072,,,,,,,,,
HD 149026,UID_0080838_RVC_001.tbl,16,sho,-42.445895829330404,95.98214654761993,92.89179165866081,4,2.2520336212859675,0.14275631614104567,0.8558185329258216,2.243975904957586,0.5233385080392692,3,0.9943057749357435,-0.5696036423400055,16,0.8803776885617017,1.6679734452864239,5.697892487224438,0.3578247461763348,,,,,,,,,
HD 149143,UID_0081022_RVC_002.tbl,17,matern32,-42.3348026114617,93.16924525509205,90.6696052229234,3,7.166112128231816e-05,0.15693458591643974,0.7399906724212767,3.23967730296845,0.35612706923398285,3,0.6354390867436812,-0.8709307269213808,17,-3.73711124504383,0.6976370856399501,,-4.762865784979621,,,,,,,,,
HD 152079,UID_0082632_RVC_001.tbl,15,sho,-38.31768483284403,87.4675704700969,84.63536966568806,4,1.755453240548377e-07,0.20414165959132058,0.4963401836799791,4.3460287327291764,0.22644225488116865,3,0.9231890286767859,-0.29290837559522265,15,1.0826931024057678,6.899167939714445,6.907755278982137,-7.6431722885314,,,,,,,,,
