index,file,host,n_obs,rms_over_sigma
450,UID_0088348_RVC_001.tbl,HD 164922,64,0.9874972536826545
451,UID_0088414_RVC_001.tbl,HD 164604,18,1.6912023029793382
452,UID_0089047_RVC_001.tbl,HD 167042,31,1.5627393570737929
453,UID_0089047_RVC_002.tbl,HD 167042,29,1.2830942437087172
454,UID_0089844_RVC_001.tbl,HD 168443,106,1.7820341328065958
455,UID_0089844_RVC_002.tbl,HD 168443,30,1.3015429480660845
456,UID_0089844_RVC_003.tbl,HD 168443,66,1.8788325065534173
457,UID_0089844_RVC_004.tbl,HD 168443,72,1.9121431556560613
458,UID_0089844_RVC_005.tbl,HD 168443,22,1.2663060608258043
459,UID_0089844_RVC_006.tbl,HD 168443,112,3.221341852591343
460,UID_0090004_RVC_001.tbl,HD 168746,16,1.2074110705717191
461,UID_0090004_RVC_002.tbl,HD 168746,154,1.5774552147102063
462,UID_0090485_RVC_001.tbl,HD 169830,35,1.2300394178058207
463,UID_0090593_RVC_001.tbl,HD 170469,35,2.5289421876757925
464,UID_0091852_RVC_001.tbl,HD 173416,30,2.1184038439788755
465,UID_0091852_RVC_002.tbl,HD 173416,22,1.001992465359828
466,UID_0092895_RVC_001.tbl,HD 175541,29,2.470671432239289
467,UID_0093746_RVC_001.tbl,HD 177830,54,2.3493874436901256
468,UID_0093746_RVC_002.tbl,HD 177830,29,2.0303375120024394
469,UID_0094075_RVC_001.tbl,HD 178911B,14,8.429224393288308
470,UID_0094075_RVC_002.tbl,HD 178911B,40,5.531079337032265
471,UID_0094075_RVC_003.tbl,HD 178911B,44,3.7730930475170044
472,UID_0094075_RVC_004.tbl,HD 178911B,7,0.8342579243936089
473,UID_0094256_RVC_001.tbl,HD 179079,74,3.09236674145961
474,UID_0094576_RVC_001.tbl,HD 180314,21,3.140864912868615
475,UID_0094576_RVC_002.tbl,HD 180314,3,1.5710275833773097
476,UID_0094645_RVC_001.tbl,HD 179949,65,2.0908454698570638
477,UID_0094645_RVC_002.tbl,HD 179949,23,1.7873101038086623
478,UID_0094645_RVC_003.tbl,HD 179949,20,1.8325713630810896
479,UID_0094645_RVC_004.tbl,HD 179949,3,12.755809449009485
480,UID_0094645_RVC_005.tbl,HD 179949,17,1.223118840519709
481,UID_0094951_RVC_001.tbl,HD 180902,12,2.191389359911552
482,UID_0095124_RVC_001.tbl,HD 181342,17,4.2487070277017
483,UID_0095467_RVC_001.tbl,HD 181433,107,2.884467064189967
484,UID_0095740_RVC_001.tbl,HD 183263,34,1.1612937528874068
485,UID_0095740_RVC_002.tbl,HD 183263,29,1.1505203876107823
486,UID_0095740_RVC_003.tbl,HD 183263,41,2.363571422706187
487,UID_0096078_RVC_001.tbl,HD 231701,17,1.5335300929275124
488,UID_0096507_RVC_001.tbl,HD 185269,30,1.7624894778235731
489,UID_0096507_RVC_002.tbl,HD 185269,38,1581.768920665403
490,UID_0096901_RVC_001.tbl,16 Cyg B,95,1.2079664175538236
491,UID_0096901_RVC_002.tbl,16 Cyg B,29,0.8474831871218781
492,UID_0096901_RVC_003.tbl,16 Cyg B,41,1.5110217932007777
493,UID_0096901_RVC_004.tbl,16 Cyg B,450,17.556786601987458
494,UID_0097336_RVC_001.tbl,HD 187123,65,0.9831223022938527
495,UID_0097336_RVC_002.tbl,HD 187123,57,1.224763782568448
496,UID_0097336_RVC_003.tbl,HD 187123,41,1.1940058958754947
497,UID_0097546_RVC_001.tbl,HD 187085,40,1.5689914960620153
498,UID_0097657_RVC_001.tbl,HAT-P-11,53,38.08699983963885
499,UID_0097769_RVC_001.tbl,HD 188015,44,1.366653867243557
500,UID_0097769_RVC_002.tbl,HD 188015,35,1.944493925318699
501,UID_0097938_RVC_001.tbl,Xi Aql,26,3.233944179169637
502,UID_0098505_RVC_001.tbl,HD 189733,78,16.7829636399737
503,UID_0098505_RVC_002.tbl,HD 189733,86,17.846495683104855
504,UID_0098714_RVC_001.tbl,HD 190228,51,1.0800353342876086
505,UID_0098714_RVC_002.tbl,HD 190228,42,0.6973376762061128
506,UID_0098714_RVC_003.tbl,HD 190228,8,1.0416402437708183
507,UID_0099115_RVC_001.tbl,HD 190647,21,2.551667540446249
508,UID_0099711_RVC_001.tbl,HD 192263,31,2.2684811434971643
509,UID_0099711_RVC_002.tbl,HD 192263,181,1.8226272011674756
510,UID_0099711_RVC_003.tbl,HD 192263,15,1.4140408986230912
511,UID_0099825_RVC_001.tbl,HD 192310,142,3.4929868463930482
512,UID_0099894_RVC_001.tbl,HD 192699,34,1.7162814809670983
513,UID_0100970_RVC_001.tbl,HD 195019,37,1.9913154662872856
514,UID_0100970_RVC_002.tbl,HD 195019,117,1.5026423042441275
515,UID_0100970_RVC_003.tbl,HD 195019,7,1.914740191587078
516,UID_0100970_RVC_004.tbl,HD 195019,7,1.260805312127525
517,UID_0100970_RVC_005.tbl,HD 195019,5,0.7111860469786085
518,UID_0100970_RVC_006.tbl,HD 195019,14,1.2906871194843181
519,UID_0100970_RVC_007.tbl,HD 195019,19,1.3456490559131657
