P_true,snr,K_true,e_true,omega_true,P_rec,K_rec,e_rec,dP_rel,dK_rel,de,chi2,alias
1.0,2.0,7.886990673687798,0.2563853480007294,319.07219903270806,24.75812728229541,15.675544262993295,0.009693411736326665,23.75812728229541,0.9875190565762044,0.24669193626440272,4.8878773108399205,1
1.0,5.0,22.655321994177267,0.32910799688806885,13.132730267355926,734.9086248155307,12.381159220208142,0.8780680039217648,733.9086248155307,0.4534988633844943,0.548960007033696,8.706503497785077,1
1.0,5.0,23.360906426202103,0.06184966778037285,133.51402770636966,0.5000255594904243,15.179689618207172,0.0,0.49997444050957573,0.3502097332498494,0.06184966778037285,2.084442335037382,1
1.0,5.0,25.391482518646768,0.05275564940344325,123.05345604098977,1800.0936624013175,25.820154899267926,0.99,1799.0936624013175,0.016882526662488247,0.9372443505965568,11.607090809322429,1
1.0,5.0,21.330264616749282,0.36302587888307,287.5464902395086,2.408655045321672,24.199843501596042,0.9866797400513712,1.4086550453216722,0.13453086196565348,0.6236538611683011,3.578939618856543,1
1.0,5.0,30.350145558521227,0.12386536327794309,101.74755259186833,130.44800194904371,13.068413205037492,0.6712551787482033,129.44800194904371,0.5694118441758723,0.5473898154702602,3.1060275198195484,1
1.0,5.0,35.07161724065239,0.19606952573958558,324.5533452713968,0.9953270993123217,58.86807029007575,0.99,0.0046729006876783385,0.67851028614216,0.7939304742604144,15.62325015764355,0
1.0,5.0,20.738975368181954,0.30306575269356606,194.73424378209253,17.8701405307579,54.6076249299719,0.99,16.8701405307579,1.6330917492554493,0.6869342473064339,6.655331869144166,1
1.0,5.0,27.397991574353355,0.6094675509903661,11.881841070282357,0.5063175506355124,34.281194143418425,0.9897390400879047,0.4936824493644876,0.25123018781815676,0.3802714890975386,0.36010179222893524,1
1.0,5.0,21.542411786865085,0.13910356007443844,237.39967740927145,548.3844440675027,12.773180492839948,0.8455260318984447,547.3844440675027,0.40706822340904014,0.7064224718240062,1.3775881272639101,1
1.0,5.0,23.010214164999248,0.05927379206817267,278.7061772700337,97.79442882993486,8.19232598352178,0.7750478315971352,96.79442882993486,0.6439700245822528,0.7157740395289626,2.2698036583467185,1
1.0,5.0,22.816997499779635,0.12354644992920041,325.78129280953095,6.342370035635374,36.583749871226324,0.6470048718489431,5.342370035635374,0.6033551246863067,0.5234584219197427,66.54234466951071,1
1.0,5.0,23.781860542762274,0.3628409200263728,320.79264917801544,0.7285848921237847,64.67494398295084,0.9899999995844917,0.27141510787621526,1.719507326462474,0.6271590795581189,1.640490067675031,1
1.0,5.0,23.55786560365573,0.09791066598860693,195.70096109388663,0.5,12.958228999478678,0.0,0.5,0.4499404480231092,0.09791066598860693,1.10782659119114,1
1.0,5.0,25.08452669946965,0.43141433050772765,128.85396961498094,0.8994086295251261,75.6393282650352,0.9656612124750475,0.10059137047487388,2.015377932828783,0.5342468819673198,5.9323485655208765,0
1.0,5.0,24.6221099473902,0.4097814467259841,88.69112743758419,0.5001268993312856,4.990594506085693,0.0,0.4998731006687144,0.7973124757890757,0.4097814467259841,5.44327848248048,1
