host,mse_tab,mse_psi,chi2_tab,chi2_psi,mse_star,chi2_star
GJ 3470,0.5036033987998962,1.2220569849014282,1.9948153495788574,4.951867580413818,0.5036033987998962,1.9948153495788574
OGLE-TR-56,0.19367685914039612,0.19680072367191315,1.1470211744308472,1.4462155103683472,0.19367685914039612,1.1470211744308472
CoRoT-4,0.1134754866361618,0.10916788130998611,1.3418854475021362,1.300518274307251,0.08824107050895691,1.0270136594772339
HAT-P-12,0.05313875153660774,0.27120503783226013,4.35634183883667,18.939687728881836,0.05313875153660774,4.35634183883667
WASP-16,0.04901678487658501,0.5228474140167236,4.940398216247559,51.07731246948242,0.04901678487658501,4.940398216247559
HAT-P-20,0.01115608960390091,0.022813592106103897,2447.34912109375,4008.30078125,0.01115608960390091,2447.34912109375
Kepler-40,0.17549583315849304,0.1617661863565445,1.8338643312454224,1.848476529121399,0.16269820928573608,1.691697597503662
HAT-P-28,0.040611933916807175,0.02734488435089588,1.510971188545227,1.1228480339050293,0.017218085005879402,0.6536144614219666
CoRoT-18,0.5907387733459473,0.2837282717227936,14.417236328125,14.39797306060791,0.2661796808242798,11.55758285522461
CoRoT-18,0.04139627516269684,0.05750568211078644,1.7477511167526245,2.2714247703552246,0.04139627516269684,1.7477511167526245
Kepler-15,0.0888601765036583,0.11176729202270508,0.8711720108985901,1.0228134393692017,0.0888601765036583,0.8711720108985901
CoRoT-16,0.4517410099506378,0.44040653109550476,1.4244338274002075,1.2661150693893433,0.38843265175819397,1.2122259140014648
WASP-42,0.0560305155813694,0.0685526505112648,0.889582097530365,1.0541661977767944,0.0560305155813694,0.889582097530365
WASP-42,0.06095807999372482,0.038932256400585175,2.4968044757843018,1.4269176721572876,0.038932085037231445,1.4269015789031982
WASP-62,0.08842571079730988,0.4212251305580139,1.7706799507141113,8.347561836242676,0.08842571079730988,1.7706799507141113
WASP-56,0.0961373969912529,0.07583633810281754,1.0083571672439575,0.9079492092132568,0.07456709444522858,1.0418179035186768
